T,n,y,MSE,Variance,Bias^2,Method
15,68,1024,0.040363756170058156,0.019211731775488225,0.021152024394569924,k-NN
18,113,2048,0.02661688464915471,0.014686243186997733,0.011930641462157016,k-NN
24,170,4096,0.018005493004517554,0.009132711088481944,0.008872781916035563,k-NN
27,303,8192,0.013341791411330779,0.008189673779276556,0.005152117632054209,k-NN
33,496,16384,0.007646642698947106,0.00474462424121286,0.0029020184577342777,k-NN
39,840,32768,0.006228170065333189,0.0037662311494258325,0.002461938915907358,k-NN
48,1365,65536,0.003606216444090847,0.002188633008803514,0.0014175834352873368,k-NN
10,101,1024,0.029585231290514925,0.005248589900117064,0.024336641390397887,KRR
12,161,2048,0.02074883413858724,0.0037168484038267806,0.01703198573476049,KRR
16,255,4096,0.011968397104647956,0.0016923718346755297,0.010276025269972415,KRR
20,406,8192,0.007521584758316771,0.0013070394993671191,0.006214545258949633,KRR
25,645,16384,0.005060303240526284,0.0005236507186417569,0.004536652521884564,KRR
32,1023,32768,0.002747158443332519,0.0002850390949860076,0.0024621193483465127,KRR
40,1625,65536,0.0021404148580247127,0.0001788722977927638,0.0019615425602319335,KRR
15,68,1024,0.03596563563752117,0.0171455064885592,0.018820129148961973,KS
18,113,2048,0.025698119340153248,0.013038233500018955,0.012659885840134283,KS
24,170,4096,0.019013375987182585,0.00950875011177233,0.009504625875410266,KS
27,303,8192,0.012255227892160117,0.00808345239054426,0.0041717755016158755,KS
33,496,16384,0.007228526279809743,0.0040556410468576415,0.003172885232952112,KS
39,840,32768,0.005799489980958996,0.003364253447988453,0.002435236532970539,KS
48,1365,65536,0.004092828195650852,0.00259475048435225,0.0014980777112985916,KS
32,32,1024,0.014496063957586935,0.0043820112429198334,0.010114052714667122,LR
45,45,2048,0.010021083518149778,0.0018546703881263276,0.008166413130023411,LR
64,64,4096,0.006991850739483069,0.0010103049672793402,0.005981545772203695,LR
90,90,8192,0.005462756184646779,0.0005546443140861972,0.004908111870560599,LR
128,128,16384,0.004706023401174074,0.0002776835592111942,0.004428339841962879,LR
181,181,32768,0.003988831468704861,0.00015755790431128743,0.003831273564393565,LR
256,256,65536,0.0036521993288841613,9.967088450926607e-05,0.0035525284443749085,LR
